Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_32_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,32,0.001,0.2,2,256,100,15,0.983,0.983,0.983,0.983,0.079,0.0608,0.9915,0.9915,0.9803,0.9805033409715218
BS_32_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,32,0.001,0.2,3,128,100,15,0.983,0.983,0.983,0.983,0.0721,0.0583,0.991,0.991,0.9803,0.9804865906405067
BS_64_LR_0.001_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,64,0.001,0.4,2,64,100,15,0.984,0.984,0.9841,0.984,0.0659,0.0584,0.992,0.992,0.9803,0.9804865906405067
BS_32_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,32,0.0001,0.3,3,64,100,15,0.981,0.981,0.9811,0.981,0.0842,0.0637,0.9915,0.9915,0.9802,0.9804928577074667
BS_32_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,32,0.0001,0.2,2,64,100,15,0.98,0.98,0.9801,0.98,0.0828,0.0626,0.988,0.988,0.98,0.9804992208638605
BS_32_LR_0.0001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,32,0.0001,0.4,3,64,100,15,0.98,0.98,0.9801,0.98,0.0858,0.0624,0.991,0.991,0.98,0.9804964337292928
BS_128_LR_0.001_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,128,0.001,0.4,2,256,100,15,0.983,0.983,0.9831,0.983,0.0771,0.0609,0.9875,0.9875,0.9798,0.9799915229802609
BS_128_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,128,0.001,0.3,2,256,100,15,0.983,0.983,0.983,0.983,0.0706,0.0548,0.99,0.99,0.9798,0.9799881910337096
BS_128_LR_0.0001_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,128,0.0001,0.4,3,128,100,15,0.976,0.976,0.9762,0.976,0.0974,0.0709,0.9875,0.9875,0.9798,0.980503086085407
BS_128_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,128,0.0001,0.2,3,128,100,15,0.978,0.978,0.9782,0.978,0.0869,0.0652,0.987,0.987,0.9797,0.9799999348557342
BS_64_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,64,0.001,0.2,3,256,100,15,0.983,0.983,0.9831,0.983,0.0733,0.0585,0.9865,0.9865,0.9793,0.9794862782381324
BS_32_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,32,0.0001,0.3,2,64,100,15,0.979,0.979,0.9791,0.979,0.0895,0.0687,0.9875,0.9875,0.979,0.9794932584718559
BS_64_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,64,0.0001,0.2,2,128,100,15,0.979,0.979,0.9792,0.979,0.0851,0.0651,0.9825,0.9825,0.979,0.9795019854453887
BS_128_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,128,0.001,0.4,2,128,100,15,0.983,0.983,0.983,0.983,0.0741,0.0596,0.992,0.992,0.9788,0.9789802455958243
BS_32_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,32,0.001,0.3,2,64,100,15,0.985,0.985,0.985,0.985,0.069,0.0573,0.9905,0.9905,0.9788,0.9789802455958243
BS_128_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,128,0.01,0.3,2,256,100,15,0.985,0.985,0.9851,0.985,0.1015,0.0825,0.9855,0.9855,0.9788,0.9790003206019544
